                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.90523,                0.78419,                 1.3873,                0.77889,                0.85667,                0.85735,                0.66042,                0.94012,                0.71766,                 1.4186,                0.00101,                0.00101,                0.00101
                     77,                0.87993,                0.75337,                 1.3645,                 0.7823,                0.84667,                0.86064,                0.66589,                 0.9173,                 0.7077,                 1.4039,              0.0009968,              0.0009968,              0.0009968
                     78,                0.88084,                0.77444,                 1.3601,                0.79749,                0.87333,                 0.8716,                0.66106,                0.91615,                0.69975,                 1.3894,              0.0009836,              0.0009836,              0.0009836
                     79,                0.91374,                0.77725,                 1.3741,                0.76561,                0.88192,                0.87267,                0.66651,                0.91463,                0.68972,                 1.3898,              0.0009704,              0.0009704,              0.0009704
                     80,                0.90858,                0.78297,                 1.3787,                0.77008,                0.85667,                0.86196,                0.64202,                 1.0289,                 0.7265,                 1.4837,              0.0009572,              0.0009572,              0.0009572
                     81,                0.91161,                0.76689,                 1.3949,                0.77496,                   0.85,                0.87644,                 0.6589,                 0.9236,                0.70129,                 1.4039,               0.000944,               0.000944,               0.000944
                     82,                0.87549,                 0.7467,                 1.3641,                0.80556,                   0.85,                0.88243,                0.67406,                0.91799,                0.71165,                 1.4001,              0.0009308,              0.0009308,              0.0009308
                     83,                0.90418,                0.75629,                 1.3811,                0.75597,                   0.88,                0.87729,                0.66723,                0.93539,                0.68725,                 1.4017,              0.0009176,              0.0009176,              0.0009176
                     84,                0.88723,                0.77054,                 1.3649,                0.78716,                0.85667,                0.87308,                0.66712,                0.92933,                0.70273,                 1.4027,              0.0009044,              0.0009044,              0.0009044
                     85,                0.89167,                0.73542,                 1.3683,                 0.8034,                   0.84,                0.86688,                0.65481,                0.93298,                0.68171,                 1.4267,              0.0008912,              0.0008912,              0.0008912
                     86,                0.88312,                0.75067,                 1.3736,                0.77091,                   0.83,                0.86184,                0.66431,                0.90912,                0.70717,                 1.4074,               0.000878,               0.000878,               0.000878
                     87,                0.84495,                0.75972,                 1.3459,                0.75391,                   0.88,                0.85873,                0.65158,                0.91129,                0.69579,                 1.3856,              0.0008648,              0.0008648,              0.0008648
                     88,                0.84153,                0.71676,                  1.336,                0.79939,                0.81022,                0.85474,                0.63539,                0.97148,                0.71738,                 1.4454,              0.0008516,              0.0008516,              0.0008516
                     89,                0.86841,                0.74332,                 1.3511,                0.79824,                0.84667,                0.86719,                0.65356,                0.95673,                0.68997,                 1.4376,              0.0008384,              0.0008384,              0.0008384
                     90,                0.85696,                0.73372,                  1.341,                  0.773,                0.87667,                0.88631,                0.67936,                0.92274,                0.68438,                 1.3995,              0.0008252,              0.0008252,              0.0008252
                     91,                0.85552,                0.76779,                 1.3311,                  0.768,                   0.89,                0.88036,                0.66683,                0.92567,                0.67224,                 1.4034,               0.000812,               0.000812,               0.000812
                     92,                0.86328,                0.74265,                 1.3342,                0.82697,                0.76471,                0.85003,                  0.632,                0.98307,                0.70942,                 1.4505,              0.0007988,              0.0007988,              0.0007988
                     93,                0.83809,                0.71587,                 1.3257,                 0.8154,                0.85398,                 0.8705,                 0.6661,                  0.935,                0.66229,                 1.4222,              0.0007856,              0.0007856,              0.0007856
                     94,                0.84555,                 0.7367,                 1.3329,                0.81298,                0.86941,                0.87822,                0.67463,                0.90539,                0.64751,                 1.3801,              0.0007724,              0.0007724,              0.0007724
                     95,                0.85779,                0.71739,                 1.3423,                0.78703,                0.91333,                0.88268,                0.66994,                0.89887,                0.65985,                 1.3676,              0.0007592,              0.0007592,              0.0007592
                     96,                0.84214,                 0.7189,                 1.3353,                0.78058,                0.84333,                0.86676,                0.66113,                0.94635,                0.67266,                 1.4113,               0.000746,               0.000746,               0.000746
                     97,                0.85601,                0.70817,                 1.3259,                 0.7586,                   0.91,                0.88132,                0.67372,                0.92936,                 0.6558,                 1.4027,              0.0007328,              0.0007328,              0.0007328
                     98,                0.85332,                0.71673,                 1.3336,                0.79857,                0.82667,                0.86534,                0.65937,                0.90537,                0.67343,                 1.3887,              0.0007196,              0.0007196,              0.0007196
                     99,                0.85108,                  0.707,                 1.3348,                0.82853,                0.78921,                0.86356,                0.66293,                0.90535,                0.66213,                 1.4013,              0.0007064,              0.0007064,              0.0007064
                    100,                0.82062,                0.70773,                  1.312,                0.84874,                    0.8,                0.88737,                0.68586,                0.88739,                0.65118,                 1.3727,              0.0006932,              0.0006932,              0.0006932
                    101,                0.84353,                0.70201,                 1.3311,                 0.8002,                0.84106,                0.87451,                0.66922,                0.92041,                0.67575,                 1.3902,                0.00068,                0.00068,                0.00068
                    102,                0.82938,                 0.6882,                 1.3119,                0.77451,                0.88667,                0.87555,                0.68289,                0.89058,                0.65677,                 1.3741,              0.0006668,              0.0006668,              0.0006668
                    103,                0.83682,                0.70737,                 1.3228,                0.77345,                0.87333,                 0.8717,                0.66697,                0.91218,                0.66931,                 1.3985,              0.0006536,              0.0006536,              0.0006536
                    104,                0.80105,                0.65942,                 1.2944,                0.80105,                0.87667,                 0.8763,                0.67724,                0.88029,                0.64602,                 1.3651,              0.0006404,              0.0006404,              0.0006404
                    105,                0.83381,                0.71923,                 1.3307,                0.79275,                0.86333,                0.88322,                0.67639,                0.91328,                0.66895,                  1.399,              0.0006272,              0.0006272,              0.0006272
                    106,                0.82917,                0.71102,                 1.3203,                0.81741,                0.83333,                0.88946,                0.67183,                0.93553,                0.67887,                 1.4129,               0.000614,               0.000614,               0.000614
                    107,                0.83582,                0.70466,                 1.3147,                0.82053,                0.84667,                0.87639,                0.67713,                0.90216,                0.65363,                 1.3876,              0.0006008,              0.0006008,              0.0006008
                    108,                0.80819,                0.68924,                  1.303,                0.81096,                   0.85,                0.87916,                0.68333,                0.88198,                0.64412,                 1.3597,              0.0005876,              0.0005876,              0.0005876
                    109,                0.80658,                0.71034,                 1.3116,                0.78612,                0.88333,                 0.8913,                0.69225,                0.89275,                0.64107,                 1.3695,              0.0005744,              0.0005744,              0.0005744
                    110,                0.82821,                0.70556,                 1.3123,                 0.8055,                0.86667,                 0.8913,                  0.678,                0.90025,                 0.6432,                 1.3801,              0.0005612,              0.0005612,              0.0005612
                    111,                0.80314,                0.69521,                 1.3032,                0.81187,                0.84869,                0.88014,                0.67471,                0.90218,                0.64122,                 1.3795,               0.000548,               0.000548,               0.000548
                    112,                0.81636,                0.67618,                 1.3032,                0.82909,                   0.82,                0.88937,                0.68233,                0.88746,                0.64573,                 1.3825,              0.0005348,              0.0005348,              0.0005348
                    113,                 0.8086,                0.71786,                 1.3129,                0.81258,                0.85265,                0.89058,                0.67914,                0.90713,                0.63542,                 1.3932,              0.0005216,              0.0005216,              0.0005216
                    114,                0.79379,                0.68946,                 1.2855,                0.81542,                0.85408,                0.88807,                0.68635,                 0.8938,                0.63039,                 1.3805,              0.0005084,              0.0005084,              0.0005084
                    115,                0.80506,                0.67785,                 1.2916,                0.80366,                0.85667,                0.88126,                0.67766,                0.89884,                0.64468,                 1.3868,              0.0004952,              0.0004952,              0.0004952
                    116,                0.80399,                 0.6848,                  1.302,                0.79578,                0.88327,                0.88644,                  0.686,                 0.8827,                0.64715,                 1.3761,               0.000482,               0.000482,               0.000482
                    117,                0.80568,                0.69521,                 1.2875,                0.79567,                0.87333,                0.88454,                0.68249,                 0.8914,                0.64012,                 1.3837,              0.0004688,              0.0004688,              0.0004688
                    118,                0.79561,                 0.6513,                 1.3076,                0.80004,                   0.85,                0.87921,                0.67296,                0.90479,                0.64321,                 1.3818,              0.0004556,              0.0004556,              0.0004556
                    119,                 0.8059,                0.66128,                 1.3023,                0.80922,                0.86249,                0.88488,                0.67673,                0.90522,                0.64454,                  1.395,              0.0004424,              0.0004424,              0.0004424
                    120,                0.79383,                0.66015,                 1.2847,                0.79068,                0.85622,                0.86644,                0.66142,                0.89099,                0.64435,                 1.3932,              0.0004292,              0.0004292,              0.0004292
                    121,                0.79755,                0.68705,                 1.2801,                0.82649,                0.82563,                0.88549,                0.67659,                0.88497,                0.64415,                 1.3762,               0.000416,               0.000416,               0.000416
                    122,                 0.7832,                 0.6802,                 1.2744,                0.82794,                0.83407,                0.89107,                0.68233,                 0.8866,                0.63974,                 1.3768,              0.0004028,              0.0004028,              0.0004028
                    123,                0.80871,                0.67326,                 1.2852,                0.82381,                0.82603,                0.88675,                0.67734,                0.88281,                0.65739,                 1.3636,              0.0003896,              0.0003896,              0.0003896
                    124,                0.77642,                0.69348,                 1.2773,                0.83731,                0.85779,                0.90775,                0.69945,                0.86232,                0.61536,                 1.3506,              0.0003764,              0.0003764,              0.0003764
                    125,                0.77904,                0.68078,                  1.283,                0.82416,                   0.88,                0.90319,                0.69294,                0.87881,                0.62407,                 1.3668,              0.0003632,              0.0003632,              0.0003632
                    126,                0.79182,                0.67399,                 1.2952,                 0.8356,                   0.85,                0.89387,                0.69075,                0.88632,                0.62818,                   1.37,                0.00035,                0.00035,                0.00035
                    127,                0.77133,                0.68031,                 1.2839,                0.79935,                0.87667,                0.90161,                0.69657,                0.88057,                 0.6199,                  1.369,              0.0003368,              0.0003368,              0.0003368
                    128,                0.79482,                0.68715,                 1.2919,                0.83357,                0.83333,                0.89864,                0.69834,                0.87037,                 0.6216,                 1.3613,              0.0003236,              0.0003236,              0.0003236
                    129,                0.76894,                0.67464,                 1.2679,                0.84487,                0.81694,                0.90085,                 0.6931,                0.87003,                0.62771,                 1.3639,              0.0003104,              0.0003104,              0.0003104
                    130,                0.77275,                0.66492,                 1.2698,                0.78265,                0.86421,                0.89068,                0.68438,                0.87163,                 0.6329,                 1.3716,              0.0002972,              0.0002972,              0.0002972
                    131,                0.75483,                0.66165,                 1.2468,                0.79066,                0.87333,                0.89294,                0.69024,                0.86533,                0.62367,                 1.3524,               0.000284,               0.000284,               0.000284
                    132,                0.75904,                0.66384,                 1.2735,                0.81866,                0.88785,                0.90146,                0.69606,                0.88021,                 0.6158,                 1.3606,              0.0002708,              0.0002708,              0.0002708
                    133,                0.77682,                0.66147,                 1.2685,                0.82407,                0.87667,                0.90587,                0.69835,                0.88451,                0.60915,                  1.373,              0.0002576,              0.0002576,              0.0002576
                    134,                0.76551,                0.66018,                 1.2737,                0.79958,                 0.8777,                0.89199,                0.69015,                0.88032,                0.61651,                 1.3647,              0.0002444,              0.0002444,              0.0002444
                    135,                 0.7741,                0.65484,                 1.2717,                0.83284,                   0.84,                0.89284,                0.69518,                0.88463,                0.61125,                 1.3809,              0.0002312,              0.0002312,              0.0002312
                    136,                0.75673,                0.62115,                 1.2606,                0.83606,                0.84333,                0.88935,                0.68546,                0.90169,                0.61831,                 1.3895,               0.000218,               0.000218,               0.000218
                    137,                0.77015,                 0.6526,                  1.267,                0.81207,                0.85333,                0.89248,                0.68811,                0.88781,                0.61728,                   1.38,              0.0002048,              0.0002048,              0.0002048
                    138,                0.78022,                0.64335,                 1.2718,                0.79443,                0.87333,                0.89061,                 0.6927,                0.88582,                0.62748,                 1.3736,              0.0001916,              0.0001916,              0.0001916
                    139,                0.76226,                0.65757,                 1.2717,                0.82212,                0.84333,                0.89606,                0.68663,                 0.8872,                0.62633,                 1.3755,              0.0001784,              0.0001784,              0.0001784
                    140,                0.77338,                0.64375,                 1.2748,                0.77887,                0.89228,                0.90064,                0.69705,                0.86757,                0.61485,                 1.3622,              0.0001652,              0.0001652,              0.0001652
                    141,                0.69991,                0.61499,                 1.2227,                0.83047,                 0.8328,                0.88815,                0.68372,                0.88846,                0.63938,                 1.3813,               0.000152,               0.000152,               0.000152
                    142,                0.68057,                0.59519,                 1.2188,                0.79224,                0.86434,                0.87679,                0.67805,                0.87988,                0.64586,                 1.3848,              0.0001388,              0.0001388,              0.0001388
                    143,                0.66329,                0.58241,                 1.1875,                0.80688,                0.84954,                0.88322,                0.68219,                0.87672,                0.62845,                  1.388,              0.0001256,              0.0001256,              0.0001256
                    144,                0.66772,                0.57504,                 1.2067,                0.77648,                0.88003,                0.88962,                0.69177,                0.86397,                0.62399,                 1.3743,              0.0001124,              0.0001124,              0.0001124
                    145,                0.66849,                0.56706,                 1.2013,                 0.7856,                0.87667,                0.89104,                 0.6916,                0.86171,                0.62764,                 1.3763,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.65424,                0.55577,                 1.1878,                0.78722,                0.88333,                0.89547,                0.69168,                0.87523,                0.62947,                 1.3892,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.66743,                0.57833,                 1.1936,                0.79095,                   0.89,                0.89154,                0.69058,                0.86594,                0.62644,                 1.3836,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.66139,                0.56277,                 1.2014,                0.78726,                0.88333,                0.89015,                0.68864,                0.86935,                 0.6262,                 1.3878,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.66187,                0.55104,                 1.1969,                0.78431,                0.88484,                0.89077,                0.69058,                0.86656,                0.62832,                 1.3797,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.65975,                0.56842,                 1.2038,                0.79095,                0.88282,                0.89353,                0.69282,                 0.8662,                0.62691,                 1.3778,               3.32e-05,               3.32e-05,               3.32e-05
