                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 0.2381,                0.18872,                 1.1707,                 0.9999,                      1,                  0.995,                  0.995,                0.11067,                0.11159,                  1.101,             0.00033023,             0.00033023,             0.00033023
                     83,                0.23716,                0.18764,                 1.1586,                 0.9999,                      1,                  0.995,                0.99499,                0.12027,                 0.1155,                  1.091,             0.00031373,             0.00031373,             0.00031373
                     84,                0.22855,                0.18212,                 1.1556,                 0.9999,                      1,                  0.995,                0.99499,                0.11398,                0.11181,                 1.0903,             0.00029723,             0.00029723,             0.00029723
                     85,                0.24352,                0.18944,                 1.1775,                 0.9999,                      1,                  0.995,                0.99499,                0.11658,                0.11039,                 1.0873,             0.00028072,             0.00028072,             0.00028072
                     86,                0.23223,                0.18583,                 1.1637,                 0.9999,                      1,                  0.995,                0.99498,                0.11341,                0.11272,                 1.1086,             0.00026422,             0.00026422,             0.00026422
                     87,                0.23008,                0.18211,                  1.162,                 0.9999,                      1,                  0.995,                0.99493,                0.11327,                0.11018,                 1.0929,             0.00024772,             0.00024772,             0.00024772
                     88,                0.23438,                0.18573,                 1.1653,                 0.9999,                      1,                  0.995,                0.99497,                0.11091,                0.11076,                 1.1142,             0.00023121,             0.00023121,             0.00023121
                     89,                0.22892,                0.17995,                 1.1607,                 0.9999,                      1,                  0.995,                  0.995,                0.11338,                0.11005,                 1.0735,             0.00021471,             0.00021471,             0.00021471
                     90,                0.22708,                0.17915,                  1.156,                 0.9999,                      1,                  0.995,                  0.995,                0.10827,                0.10579,                 1.0822,             0.00019821,             0.00019821,             0.00019821
                     91,                0.12621,                0.12286,                 1.0752,                 0.9999,                      1,                  0.995,                  0.995,                0.11157,                0.10729,                 1.0952,              0.0001817,              0.0001817,              0.0001817
                     92,                0.12308,                  0.121,                 1.0765,                 0.9999,                      1,                  0.995,                  0.995,                0.11511,                 0.1075,                 1.0865,              0.0001652,              0.0001652,              0.0001652
                     93,                0.12063,                0.11941,                 1.0808,                 0.9999,                      1,                  0.995,                  0.995,                0.10963,                0.10667,                 1.0714,              0.0001487,              0.0001487,              0.0001487
                     94,                0.11968,                0.11843,                  1.075,                 0.9999,                      1,                  0.995,                0.99497,                0.10618,                0.10522,                 1.0752,             0.00013219,             0.00013219,             0.00013219
                     95,                0.11737,                0.11709,                  1.072,                 0.9999,                      1,                  0.995,                  0.995,                0.10709,                0.10684,                 1.0874,             0.00011569,             0.00011569,             0.00011569
                     96,                0.11712,                0.11649,                 1.0675,                 0.9999,                      1,                  0.995,                  0.995,                0.10489,                0.10341,                 1.0877,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.11579,                0.11514,                 1.0695,                 0.9999,                      1,                  0.995,                  0.995,                0.10595,                0.10561,                  1.096,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.11518,                0.11415,                 1.0633,                 0.9999,                      1,                  0.995,                  0.995,                 0.1044,                0.10473,                 1.1003,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.1122,                 0.1119,                 1.0697,                 0.9999,                      1,                  0.995,                0.99499,                0.10105,                0.10401,                 1.0903,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.11155,                0.11096,                 1.0625,                 0.9999,                      1,                  0.995,                0.99498,                0.10281,                0.10402,                 1.0902,             3.3173e-05,             3.3173e-05,             3.3173e-05
